
Xzone.exe:     file format pei-x86-64


Disassembly of section .text:

0000000000401000 <__mingw_invalidParameterHandler>:
  401000:	c3                   	retq   
  401650:	48 8d 1c d1          	lea    (%rcx,%rdx,8),%rbx
  401654:	48 29 c2             	sub    %rax,%rdx
  401657:	48 8d 74 d1 f8       	lea    -0x8(%rcx,%rdx,8),%rsi
  40165c:	0f 1f 40 00          	nopl   0x0(%rax)
  401660:	ff 13                	callq  *(%rbx)
  401662:	48 83 eb 08          	sub    $0x8,%rbx
  401666:	48 39 f3             	cmp    %rsi,%rbx
  401669:	75 f5                	jne    401660 <__do_global_ctors+0x30>
  40166b:	48 8d 0d 7e ff ff ff 	lea    -0x82(%rip),%rcx        # 4015f0 <__do_global_dtors>
  401672:	48 83 c4 28          	add    $0x28,%rsp
  401676:	5b                   	pop    %rbx
  401677:	5e                   	pop    %rsi
  401678:	e9 93 fe ff ff       	jmpq   401510 <atexit>
  40167d:	0f 1f 00             	nopl   (%rax)
  401680:	31 c0                	xor    %eax,%eax
  401682:	eb 02                	jmp    401686 <__do_global_ctors+0x56>
  401684:	89 d0                	mov    %edx,%eax
  401686:	44 8d 40 01          	lea    0x1(%rax),%r8d
  40168a:	4a 83 3c c1 00       	cmpq   $0x0,(%rcx,%r8,8)
  40168f:	4c 89 c2             	mov    %r8,%rdx
  401692:	75 f0                	jne    401684 <__do_global_ctors+0x54>
  401694:	eb b1                	jmp    401647 <__do_global_ctors+0x17>
  401696:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40169d:	00 00 00 

00000000004016a0 <__main>:
  4016a0:	8b 05 8a 59 00 00    	mov    0x598a(%rip),%eax        # 407030 <initialized>
  4016a6:	85 c0                	test   %eax,%eax
  4016a8:	74 06                	je     4016b0 <__main+0x10>
  4016aa:	c3                   	retq   
  4016ab:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
  4016b0:	c7 05 76 59 00 00 01 	movl   $0x1,0x5976(%rip)        # 407030 <initialized>
  4016b7:	00 00 00 
  4016ba:	e9 71 ff ff ff       	jmpq   401630 <__do_global_ctors>
  4016bf:	90                   	nop

00000000004016c0 <my_lconv_init>:
  4016c0:	48 ff 25 05 6c 00 00 	rex.W jmpq *0x6c05(%rip)        # 4082cc <__imp___lconv_init>
  4016c7:	90                   	nop
  4016c8:	90                   	nop
  4016c9:	90                   	nop
  4016ca:	90                   	nop
  4016cb:	90                   	nop
  4016cc:	90                   	nop
  4016cd:	90                   	nop
  4016ce:	90                   	nop
  4016cf:	90                   	nop

00000000004016d0 <_setargv>:
  4016d0:	31 c0                	xor    %eax,%eax
  4016d2:	c3                   	retq   
  4016d3:	90                   	nop
  4016d4:	90                   	nop
  4016d5:	90                   	nop
  4016d6:	90                   	nop
  4016d7:	90                   	nop
  4016d8:	90                   	nop
  4016d9:	90                   	nop
  4016da:	90                   	nop
  4016db:	90                   	nop
  4016dc:	90                   	nop
  4016dd:	90                   	nop
  4016de:	90                   	nop
  4016df:	90                   	nop

00000000004016e0 <__security_init_cookie>:
  4016e0:	41 54                	push   %r12
  4016e2:	55                   	push   %rbp
  4016e3:	57                   	push   %rdi
  4016e4:	56                   	push   %rsi
  4016e5:	53                   	push   %rbx
  4016e6:	48 83 ec 30          	sub    $0x30,%rsp
  4016ea:	48 8b 1d bf 19 00 00 	mov    0x19bf(%rip),%rbx        # 4030b0 <__security_cookie>
  4016f1:	48 b8 32 a2 df 2d 99 	movabs $0x2b992ddfa232,%rax
  4016f8:	2b 00 00 
  4016fb:	48 39 c3             	cmp    %rax,%rbx
  4016fe:	48 c7 44 24 20 00 00 	movq   $0x0,0x20(%rsp)
  401705:	00 00 
  401707:	74 17                	je     401720 <__security_init_cookie+0x40>
  401709:	48 f7 d3             	not    %rbx
  40170c:	48 89 1d ad 19 00 00 	mov    %rbx,0x19ad(%rip)        # 4030c0 <__security_cookie_complement>
  401713:	48 83 c4 30          	add    $0x30,%rsp
  401717:	5b                   	pop    %rbx
  401718:	5e                   	pop    %rsi
  401719:	5f                   	pop    %rdi
  40171a:	5d                   	pop    %rbp
  40171b:	41 5c                	pop    %r12
  40171d:	c3                   	retq   
  40171e:	66 90                	xchg   %ax,%ax
  401720:	48 8d 4c 24 20       	lea    0x20(%rsp),%rcx
  401725:	ff 15 f9 6a 00 00    	callq  *0x6af9(%rip)        # 408224 <__imp_GetSystemTimeAsFileTime>
  40172b:	48 8b 74 24 20       	mov    0x20(%rsp),%rsi
  401730:	ff 15 ce 6a 00 00    	callq  *0x6ace(%rip)        # 408204 <__imp_GetCurrentProcessId>
  401736:	41 89 c4             	mov    %eax,%r12d
  401739:	ff 15 cd 6a 00 00    	callq  *0x6acd(%rip)        # 40820c <__imp_GetCurrentThreadId>
  40173f:	89 c5                	mov    %eax,%ebp
  401741:	ff 15 e5 6a 00 00    	callq  *0x6ae5(%rip)        # 40822c <__imp_GetTickCount>
  401747:	48 8d 4c 24 28       	lea    0x28(%rsp),%rcx
  40174c:	89 c7                	mov    %eax,%edi
  40174e:	ff 15 f0 6a 00 00    	callq  *0x6af0(%rip)        # 408244 <__imp_QueryPerformanceCounter>
  401754:	48 33 74 24 28       	xor    0x28(%rsp),%rsi
  401759:	44 89 e0             	mov    %r12d,%eax
  40175c:	48 ba ff ff ff ff ff 	movabs $0xffffffffffff,%rdx
  401763:	ff 00 00 
  401766:	48 31 f0             	xor    %rsi,%rax
  401769:	89 ee                	mov    %ebp,%esi
  40176b:	48 31 c6             	xor    %rax,%rsi
  40176e:	89 f8                	mov    %edi,%eax
  401770:	48 31 f0             	xor    %rsi,%rax
  401773:	48 21 d0             	and    %rdx,%rax
  401776:	48 39 d8             	cmp    %rbx,%rax
  401779:	74 25                	je     4017a0 <__security_init_cookie+0xc0>
  40177b:	48 89 c2             	mov    %rax,%rdx
  40177e:	48 f7 d2             	not    %rdx
  401781:	48 89 05 28 19 00 00 	mov    %rax,0x1928(%rip)        # 4030b0 <__security_cookie>
  401788:	48 89 15 31 19 00 00 	mov    %rdx,0x1931(%rip)        # 4030c0 <__security_cookie_complement>
  40178f:	48 83 c4 30          	add    $0x30,%rsp
  401793:	5b                   	pop    %rbx
  401794:	5e                   	pop    %rsi
  401795:	5f                   	pop    %rdi
  401796:	5d                   	pop    %rbp
  401797:	41 5c                	pop    %r12
  401799:	c3                   	retq   
  40179a:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  4017a0:	48 ba cc 5d 20 d2 66 	movabs $0xffffd466d2205dcc,%rdx
  4017a7:	d4 ff ff 
  4017aa:	48 b8 33 a2 df 2d 99 	movabs $0x2b992ddfa233,%rax
  4017b1:	2b 00 00 
  4017b4:	eb cb                	jmp    401781 <__security_init_cookie+0xa1>
  4017b6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4017bd:	00 00 00 

00000000004017c0 <__report_gsfailure>:
  4017c0:	55                   	push   %rbp
  4017c1:	56                   	push   %rsi
  4017c2:	53                   	push   %rbx
  4017c3:	48 89 e5             	mov    %rsp,%rbp
  4017c6:	48 83 ec 70          	sub    $0x70,%rsp
  4017ca:	48 89 ce             	mov    %rcx,%rsi
  4017cd:	48 8d 0d 8c 58 00 00 	lea    0x588c(%rip),%rcx        # 407060 <GS_ContextRecord>
  4017d4:	ff 15 7a 6a 00 00    	callq  *0x6a7a(%rip)        # 408254 <__imp_RtlCaptureContext>
  4017da:	48 8b 1d 77 59 00 00 	mov    0x5977(%rip),%rbx        # 407158 <GS_ContextRecord+0xf8>
  4017e1:	48 8d 55 d8          	lea    -0x28(%rbp),%rdx
  4017e5:	45 31 c0             	xor    %r8d,%r8d
  4017e8:	48 89 d9             	mov    %rbx,%rcx
  4017eb:	ff 15 6b 6a 00 00    	callq  *0x6a6b(%rip)        # 40825c <__imp_RtlLookupFunctionEntry>
  4017f1:	48 85 c0             	test   %rax,%rax
  4017f4:	0f 84 a3 00 00 00    	je     40189d <__report_gsfailure+0xdd>
  4017fa:	48 8d 55 e0          	lea    -0x20(%rbp),%rdx
  4017fe:	49 89 c1             	mov    %rax,%r9
  401801:	49 89 d8             	mov    %rbx,%r8
  401804:	48 c7 44 24 38 00 00 	movq   $0x0,0x38(%rsp)
  40180b:	00 00 
  40180d:	48 8d 0d 4c 58 00 00 	lea    0x584c(%rip),%rcx        # 407060 <GS_ContextRecord>
  401814:	48 89 54 24 30       	mov    %rdx,0x30(%rsp)
  401819:	48 8d 55 e8          	lea    -0x18(%rbp),%rdx
  40181d:	48 89 4c 24 20       	mov    %rcx,0x20(%rsp)
  401822:	31 c9                	xor    %ecx,%ecx
  401824:	48 89 54 24 28       	mov    %rdx,0x28(%rsp)
  401829:	48 8b 55 d8          	mov    -0x28(%rbp),%rdx
  40182d:	ff 15 31 6a 00 00    	callq  *0x6a31(%rip)        # 408264 <__imp_RtlVirtualUnwind>
  401833:	48 8b 05 1e 59 00 00 	mov    0x591e(%rip),%rax        # 407158 <GS_ContextRecord+0xf8>
  40183a:	31 c9                	xor    %ecx,%ecx
  40183c:	48 89 35 9d 58 00 00 	mov    %rsi,0x589d(%rip)        # 4070e0 <GS_ContextRecord+0x80>
  401843:	48 89 05 06 5d 00 00 	mov    %rax,0x5d06(%rip)        # 407550 <GS_ExceptionRecord+0x10>
  40184a:	48 b8 09 04 00 c0 01 	movabs $0x1c0000409,%rax
  401851:	00 00 00 
  401854:	48 89 05 e5 5c 00 00 	mov    %rax,0x5ce5(%rip)        # 407540 <GS_ExceptionRecord>
  40185b:	48 8b 05 4e 18 00 00 	mov    0x184e(%rip),%rax        # 4030b0 <__security_cookie>
  401862:	48 89 45 f0          	mov    %rax,-0x10(%rbp)
  401866:	48 8b 05 53 18 00 00 	mov    0x1853(%rip),%rax        # 4030c0 <__security_cookie_complement>
  40186d:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
  401871:	ff 15 f5 69 00 00    	callq  *0x69f5(%rip)        # 40826c <__imp_SetUnhandledExceptionFilter>
  401877:	48 8d 0d a2 27 00 00 	lea    0x27a2(%rip),%rcx        # 404020 <GS_ExceptionPointers>
  40187e:	ff 15 08 6a 00 00    	callq  *0x6a08(%rip)        # 40828c <__imp_UnhandledExceptionFilter>
  401884:	ff 15 72 69 00 00    	callq  *0x6972(%rip)        # 4081fc <__imp_GetCurrentProcess>
  40188a:	ba 09 04 00 c0       	mov    $0xc0000409,%edx
  40188f:	48 89 c1             	mov    %rax,%rcx
  401892:	ff 15 e4 69 00 00    	callq  *0x69e4(%rip)        # 40827c <__imp_TerminateProcess>
  401898:	e8 8b 12 00 00       	callq  402b28 <abort>
  40189d:	48 8b 45 18          	mov    0x18(%rbp),%rax
  4018a1:	48 89 05 b0 58 00 00 	mov    %rax,0x58b0(%rip)        # 407158 <GS_ContextRecord+0xf8>
  4018a8:	48 8d 45 08          	lea    0x8(%rbp),%rax
  4018ac:	48 89 05 45 58 00 00 	mov    %rax,0x5845(%rip)        # 4070f8 <GS_ContextRecord+0x98>
  4018b3:	e9 7b ff ff ff       	jmpq   401833 <__report_gsfailure+0x73>
  4018b8:	90                   	nop
  4018b9:	90                   	nop
  4018ba:	90                   	nop
  4018bb:	90                   	nop
  4018bc:	90                   	nop
  4018bd:	90                   	nop
  4018be:	90                   	nop
  4018bf:	90                   	nop

00000000004018c0 <__dyn_tls_dtor>:
  4018c0:	48 83 ec 28          	sub    $0x28,%rsp
  4018c4:	83 fa 03             	cmp    $0x3,%edx
  4018c7:	74 17                	je     4018e0 <__dyn_tls_dtor+0x20>
  4018c9:	85 d2                	test   %edx,%edx
  4018cb:	74 13                	je     4018e0 <__dyn_tls_dtor+0x20>
  4018cd:	b8 01 00 00 00       	mov    $0x1,%eax
  4018d2:	48 83 c4 28          	add    $0x28,%rsp
  4018d6:	c3                   	retq   
  4018d7:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
  4018de:	00 00 
  4018e0:	e8 cb 0c 00 00       	callq  4025b0 <__mingw_TLScallback>
  4018e5:	b8 01 00 00 00       	mov    $0x1,%eax
  4018ea:	48 83 c4 28          	add    $0x28,%rsp
  4018ee:	c3                   	retq   
  4018ef:	90                   	nop

00000000004018f0 <__dyn_tls_init>:
  4018f0:	56                   	push   %rsi
  4018f1:	53                   	push   %rbx
  4018f2:	48 83 ec 28          	sub    $0x28,%rsp
  4018f6:	48 8b 05 03 2a 00 00 	mov    0x2a03(%rip),%rax        # 404300 <.refptr._CRT_MT>
  4018fd:	83 38 02             	cmpl   $0x2,(%rax)
  401900:	74 06                	je     401908 <__dyn_tls_init+0x18>
  401902:	c7 00 02 00 00 00    	movl   $0x2,(%rax)
  401908:	83 fa 02             	cmp    $0x2,%edx
  40190b:	74 13                	je     401920 <__dyn_tls_init+0x30>
  40190d:	83 fa 01             	cmp    $0x1,%edx
  401910:	74 40                	je     401952 <__dyn_tls_init+0x62>
  401912:	b8 01 00 00 00       	mov    $0x1,%eax
  401917:	48 83 c4 28          	add    $0x28,%rsp
  40191b:	5b                   	pop    %rbx
  40191c:	5e                   	pop    %rsi
  40191d:	c3                   	retq   
  40191e:	66 90                	xchg   %ax,%ax
  401920:	48 8d 1d 39 77 00 00 	lea    0x7739(%rip),%rbx        # 409060 <__xd_z>
  401927:	48 8d 35 32 77 00 00 	lea    0x7732(%rip),%rsi        # 409060 <__xd_z>
  40192e:	48 39 de             	cmp    %rbx,%rsi
  401931:	74 df                	je     401912 <__dyn_tls_init+0x22>
  401933:	48 8b 03             	mov    (%rbx),%rax
  401936:	48 85 c0             	test   %rax,%rax
  401939:	74 02                	je     40193d <__dyn_tls_init+0x4d>
  40193b:	ff d0                	callq  *%rax
  40193d:	48 83 c3 08          	add    $0x8,%rbx
  401941:	48 39 de             	cmp    %rbx,%rsi
  401944:	75 ed                	jne    401933 <__dyn_tls_init+0x43>
  401946:	b8 01 00 00 00       	mov    $0x1,%eax
  40194b:	48 83 c4 28          	add    $0x28,%rsp
  40194f:	5b                   	pop    %rbx
  401950:	5e                   	pop    %rsi
  401951:	c3                   	retq   
  401952:	e8 59 0c 00 00       	callq  4025b0 <__mingw_TLScallback>
  401957:	b8 01 00 00 00       	mov    $0x1,%eax
  40195c:	48 83 c4 28          	add    $0x28,%rsp
  401960:	5b                   	pop    %rbx
  401961:	5e                   	pop    %rsi
  401962:	c3                   	retq   
  401963:	0f 1f 00             	nopl   (%rax)
  401966:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40196d:	00 00 00 

0000000000401970 <__tlregdtor>:
  401970:	31 c0                	xor    %eax,%eax
  401972:	c3                   	retq   
  401973:	90                   	nop
  401974:	90                   	nop
  401975:	90                   	nop
  401976:	90                   	nop
  401977:	90                   	nop
  401978:	90                   	nop
  401979:	90                   	nop
  40197a:	90                   	nop
  40197b:	90                   	nop
  40197c:	90                   	nop
  40197d:	90                   	nop
  40197e:	90                   	nop
  40197f:	90                   	nop

0000000000401980 <__mingw_raise_matherr>:
  401980:	48 83 ec 58          	sub    $0x58,%rsp
  401984:	48 8b 05 75 5c 00 00 	mov    0x5c75(%rip),%rax        # 407600 <stUserMathErr>
  40198b:	48 85 c0             	test   %rax,%rax
  40198e:	74 2c                	je     4019bc <__mingw_raise_matherr+0x3c>
  401990:	f2 0f 10 84 24 80 00 	movsd  0x80(%rsp),%xmm0
  401997:	00 00 
  401999:	89 4c 24 20          	mov    %ecx,0x20(%rsp)
  40199d:	48 8d 4c 24 20       	lea    0x20(%rsp),%rcx
  4019a2:	48 89 54 24 28       	mov    %rdx,0x28(%rsp)
  4019a7:	f2 0f 11 54 24 30    	movsd  %xmm2,0x30(%rsp)
  4019ad:	f2 0f 11 5c 24 38    	movsd  %xmm3,0x38(%rsp)
  4019b3:	f2 0f 11 44 24 40    	movsd  %xmm0,0x40(%rsp)
  4019b9:	ff d0                	callq  *%rax
  4019bb:	90                   	nop
  4019bc:	48 83 c4 58          	add    $0x58,%rsp
  4019c0:	c3                   	retq   
  4019c1:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
  4019c6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4019cd:	00 00 00 

00000000004019d0 <__mingw_setusermatherr>:
  4019d0:	48 89 0d 29 5c 00 00 	mov    %rcx,0x5c29(%rip)        # 407600 <stUserMathErr>
  4019d7:	e9 74 11 00 00       	jmpq   402b50 <__setusermatherr>
  4019dc:	0f 1f 40 00          	nopl   0x0(%rax)

00000000004019e0 <_matherr>:
  4019e0:	56                   	push   %rsi
  4019e1:	53                   	push   %rbx
  4019e2:	48 83 ec 78          	sub    $0x78,%rsp
  4019e6:	0f 29 74 24 40       	movaps %xmm6,0x40(%rsp)
  4019eb:	0f 29 7c 24 50       	movaps %xmm7,0x50(%rsp)
  4019f0:	44 0f 29 44 24 60    	movaps %xmm8,0x60(%rsp)
  4019f6:	83 39 06             	cmpl   $0x6,(%rcx)
  4019f9:	0f 87 d1 00 00 00    	ja     401ad0 <_matherr+0xf0>
  4019ff:	8b 01                	mov    (%rcx),%eax
  401a01:	48 8d 15 bc 27 00 00 	lea    0x27bc(%rip),%rdx        # 4041c4 <.rdata+0x124>
  401a08:	48 63 04 82          	movslq (%rdx,%rax,4),%rax
  401a0c:	48 01 d0             	add    %rdx,%rax
  401a0f:	ff e0                	jmpq   *%rax
  401a11:	48 8d 1d 88 26 00 00 	lea    0x2688(%rip),%rbx        # 4040a0 <.rdata>
  401a18:	48 8b 71 08          	mov    0x8(%rcx),%rsi
  401a1c:	f2 44 0f 10 41 20    	movsd  0x20(%rcx),%xmm8
  401a22:	f2 0f 10 79 18       	movsd  0x18(%rcx),%xmm7
  401a27:	f2 0f 10 71 10       	movsd  0x10(%rcx),%xmm6
  401a2c:	b9 02 00 00 00       	mov    $0x2,%ecx
  401a31:	e8 4a 11 00 00       	callq  402b80 <__acrt_iob_func>
  401a36:	f2 44 0f 11 44 24 30 	movsd  %xmm8,0x30(%rsp)
  401a3d:	49 89 f1             	mov    %rsi,%r9
  401a40:	49 89 d8             	mov    %rbx,%r8
  401a43:	f2 0f 11 7c 24 28    	movsd  %xmm7,0x28(%rsp)
  401a49:	48 8d 15 48 27 00 00 	lea    0x2748(%rip),%rdx        # 404198 <.rdata+0xf8>
  401a50:	48 89 c1             	mov    %rax,%rcx
  401a53:	f2 0f 11 74 24 20    	movsd  %xmm6,0x20(%rsp)
  401a59:	e8 b2 10 00 00       	callq  402b10 <fprintf>
  401a5e:	90                   	nop
  401a5f:	0f 28 74 24 40       	movaps 0x40(%rsp),%xmm6
  401a64:	31 c0                	xor    %eax,%eax
  401a66:	0f 28 7c 24 50       	movaps 0x50(%rsp),%xmm7
  401a6b:	44 0f 28 44 24 60    	movaps 0x60(%rsp),%xmm8
  401a71:	48 83 c4 78          	add    $0x78,%rsp
  401a75:	5b                   	pop    %rbx
  401a76:	5e                   	pop    %rsi
  401a77:	c3                   	retq   
  401a78:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  401a7f:	00 
  401a80:	48 8d 1d 38 26 00 00 	lea    0x2638(%rip),%rbx        # 4040bf <.rdata+0x1f>
  401a87:	eb 8f                	jmp    401a18 <_matherr+0x38>
  401a89:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
  401a90:	48 8d 1d 49 26 00 00 	lea    0x2649(%rip),%rbx        # 4040e0 <.rdata+0x40>
  401a97:	e9 7c ff ff ff       	jmpq   401a18 <_matherr+0x38>
  401a9c:	0f 1f 40 00          	nopl   0x0(%rax)
  401aa0:	48 8d 1d a9 26 00 00 	lea    0x26a9(%rip),%rbx        # 404150 <.rdata+0xb0>
  401aa7:	e9 6c ff ff ff       	jmpq   401a18 <_matherr+0x38>
  401aac:	0f 1f 40 00          	nopl   0x0(%rax)
  401ab0:	48 8d 1d 71 26 00 00 	lea    0x2671(%rip),%rbx        # 404128 <.rdata+0x88>
  401ab7:	e9 5c ff ff ff       	jmpq   401a18 <_matherr+0x38>
  401abc:	0f 1f 40 00          	nopl   0x0(%rax)
  401ac0:	48 8d 1d 39 26 00 00 	lea    0x2639(%rip),%rbx        # 404100 <.rdata+0x60>
  401ac7:	e9 4c ff ff ff       	jmpq   401a18 <_matherr+0x38>
  401acc:	0f 1f 40 00          	nopl   0x0(%rax)
  401ad0:	48 8d 1d af 26 00 00 	lea    0x26af(%rip),%rbx        # 404186 <.rdata+0xe6>
  401ad7:	e9 3c ff ff ff       	jmpq   401a18 <_matherr+0x38>
  401adc:	90                   	nop
  401add:	90                   	nop
  401ade:	90                   	nop
  401adf:	90                   	nop

0000000000401ae0 <_fpreset>:
  401ae0:	db e3                	fninit 
  401ae2:	c3                   	retq   
  401ae3:	90                   	nop
  401ae4:	90                   	nop
  401ae5:	90                   	nop
  401ae6:	90                   	nop
  401ae7:	90                   	nop
  401ae8:	90                   	nop
  401ae9:	90                   	nop
  401aea:	90                   	nop
  401aeb:	90                   	nop
  401aec:	90                   	nop
  401aed:	90                   	nop
  401aee:	90                   	nop
  401aef:	90                   	nop

0000000000401af0 <_decode_pointer>:
  401af0:	48 89 c8             	mov    %rcx,%rax
  401af3:	c3                   	retq   
  401af4:	66 90                	xchg   %ax,%ax
  401af6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  401afd:	00 00 00 

0000000000401b00 <_encode_pointer>:
  401b00:	48 89 c8             	mov    %rcx,%rax
  401b03:	c3                   	retq   
  401b04:	90                   	nop
  401b05:	90                   	nop
  401b06:	90                   	nop
  401b07:	90                   	nop
  401b08:	90                   	nop
  401b09:	90                   	nop
  401b0a:	90                   	nop
  401b0b:	90                   	nop
  401b0c:	90                   	nop
  401b0d:	90                   	nop
  401b0e:	90                   	nop
  401b0f:	90                   	nop

0000000000401b10 <__write_memory.part.0>:
  401b10:	41 54                	push   %r12
  401b12:	55                   	push   %rbp
  401b13:	57                   	push   %rdi
  401b14:	56                   	push   %rsi
  401b15:	53                   	push   %rbx
  401b16:	48 83 ec 50          	sub    $0x50,%rsp
  401b1a:	48 63 35 03 5b 00 00 	movslq 0x5b03(%rip),%rsi        # 407624 <maxSections>
  401b21:	85 f6                	test   %esi,%esi
  401b23:	48 89 cb             	mov    %rcx,%rbx
  401b26:	48 89 d5             	mov    %rdx,%rbp
  401b29:	4c 89 c7             	mov    %r8,%rdi
  401b2c:	0f 8e 66 01 00 00    	jle    401c98 <__write_memory.part.0+0x188>
  401b32:	48 8b 05 ef 5a 00 00 	mov    0x5aef(%rip),%rax        # 407628 <the_secs>
  401b39:	31 c9                	xor    %ecx,%ecx
  401b3b:	48 83 c0 18          	add    $0x18,%rax
  401b3f:	90                   	nop
  401b40:	48 8b 10             	mov    (%rax),%rdx
  401b43:	48 39 d3             	cmp    %rdx,%rbx
  401b46:	72 14                	jb     401b5c <__write_memory.part.0+0x4c>
  401b48:	4c 8b 40 08          	mov    0x8(%rax),%r8
  401b4c:	45 8b 40 08          	mov    0x8(%r8),%r8d
  401b50:	4c 01 c2             	add    %r8,%rdx
  401b53:	48 39 d3             	cmp    %rdx,%rbx
  401b56:	0f 82 89 00 00 00    	jb     401be5 <__write_memory.part.0+0xd5>
  401b5c:	83 c1 01             	add    $0x1,%ecx
  401b5f:	48 83 c0 28          	add    $0x28,%rax
  401b63:	39 f1                	cmp    %esi,%ecx
  401b65:	75 d9                	jne    401b40 <__write_memory.part.0+0x30>
  401b67:	48 89 d9             	mov    %rbx,%rcx
  401b6a:	e8 41 0c 00 00       	callq  4027b0 <__mingw_GetSectionForAddress>
  401b6f:	48 85 c0             	test   %rax,%rax
  401b72:	49 89 c4             	mov    %rax,%r12
  401b75:	0f 84 52 01 00 00    	je     401ccd <__write_memory.part.0+0x1bd>
  401b7b:	48 8b 05 a6 5a 00 00 	mov    0x5aa6(%rip),%rax        # 407628 <the_secs>
  401b82:	48 8d 34 b6          	lea    (%rsi,%rsi,4),%rsi
  401b86:	48 c1 e6 03          	shl    $0x3,%rsi
  401b8a:	48 01 f0             	add    %rsi,%rax
  401b8d:	4c 89 60 20          	mov    %r12,0x20(%rax)
  401b91:	c7 00 00 00 00 00    	movl   $0x0,(%rax)
  401b97:	e8 44 0d 00 00       	callq  4028e0 <_GetPEImageBase>
  401b9c:	41 8b 4c 24 0c       	mov    0xc(%r12),%ecx
  401ba1:	48 8d 54 24 20       	lea    0x20(%rsp),%rdx
  401ba6:	41 b8 30 00 00 00    	mov    $0x30,%r8d
  401bac:	48 01 c1             	add    %rax,%rcx
  401baf:	48 8b 05 72 5a 00 00 	mov    0x5a72(%rip),%rax        # 407628 <the_secs>
  401bb6:	48 89 4c 30 18       	mov    %rcx,0x18(%rax,%rsi,1)
  401bbb:	ff 15 db 66 00 00    	callq  *0x66db(%rip)        # 40829c <__imp_VirtualQuery>
  401bc1:	48 85 c0             	test   %rax,%rax
  401bc4:	0f 84 e6 00 00 00    	je     401cb0 <__write_memory.part.0+0x1a0>
  401bca:	8b 44 24 44          	mov    0x44(%rsp),%eax
  401bce:	8d 50 fc             	lea    -0x4(%rax),%edx
  401bd1:	83 e2 fb             	and    $0xfffffffb,%edx
  401bd4:	74 08                	je     401bde <__write_memory.part.0+0xce>
  401bd6:	83 e8 40             	sub    $0x40,%eax
  401bd9:	83 e0 bf             	and    $0xffffffbf,%eax
  401bdc:	75 62                	jne    401c40 <__write_memory.part.0+0x130>
  401bde:	83 05 3f 5a 00 00 01 	addl   $0x1,0x5a3f(%rip)        # 407624 <maxSections>
  401be5:	83 ff 08             	cmp    $0x8,%edi
  401be8:	73 29                	jae    401c13 <__write_memory.part.0+0x103>
  401bea:	40 f6 c7 04          	test   $0x4,%dil
  401bee:	0f 85 90 00 00 00    	jne    401c84 <__write_memory.part.0+0x174>
  401bf4:	85 ff                	test   %edi,%edi
  401bf6:	74 10                	je     401c08 <__write_memory.part.0+0xf8>
  401bf8:	0f b6 45 00          	movzbl 0x0(%rbp),%eax
  401bfc:	40 f6 c7 02          	test   $0x2,%dil
  401c00:	88 03                	mov    %al,(%rbx)
  401c02:	0f 85 97 00 00 00    	jne    401c9f <__write_memory.part.0+0x18f>
  401c08:	48 83 c4 50          	add    $0x50,%rsp
  401c0c:	5b                   	pop    %rbx
  401c0d:	5e                   	pop    %rsi
  401c0e:	5f                   	pop    %rdi
  401c0f:	5d                   	pop    %rbp
  401c10:	41 5c                	pop    %r12
  401c12:	c3                   	retq   
  401c13:	89 f8                	mov    %edi,%eax
  401c15:	83 ef 01             	sub    $0x1,%edi
  401c18:	48 8b 54 05 f8       	mov    -0x8(%rbp,%rax,1),%rdx
  401c1d:	83 ff 08             	cmp    $0x8,%edi
  401c20:	48 89 54 03 f8       	mov    %rdx,-0x8(%rbx,%rax,1)
  401c25:	72 e1                	jb     401c08 <__write_memory.part.0+0xf8>
  401c27:	83 e7 f8             	and    $0xfffffff8,%edi
  401c2a:	31 c0                	xor    %eax,%eax
  401c2c:	89 c2                	mov    %eax,%edx
  401c2e:	83 c0 08             	add    $0x8,%eax
  401c31:	48 8b 4c 15 00       	mov    0x0(%rbp,%rdx,1),%rcx
  401c36:	39 f8                	cmp    %edi,%eax
  401c38:	48 89 0c 13          	mov    %rcx,(%rbx,%rdx,1)
  401c3c:	72 ee                	jb     401c2c <__write_memory.part.0+0x11c>
  401c3e:	eb c8                	jmp    401c08 <__write_memory.part.0+0xf8>
  401c40:	48 03 35 e1 59 00 00 	add    0x59e1(%rip),%rsi        # 407628 <the_secs>
  401c47:	41 b8 40 00 00 00    	mov    $0x40,%r8d
  401c4d:	48 8b 4c 24 20       	mov    0x20(%rsp),%rcx
  401c52:	48 8b 54 24 38       	mov    0x38(%rsp),%rdx
