YEAR,STATION,Entries 0600-1000,Exits 0600-1000,Entries 1000-1500,Exits 1000-1500,Entries 1500-1900,Exits 1500-1900,Entries 1900 -0600,Exits 1900 -0600,Entries 0000-2359,Exits 0000-2359,LAT,LONG
2018,Central,13550,56610,22810,30640,57240,21680,22630,8810,116230,117740,-33.883516,151.206745
2019,Central,13350,53600,22090,28220,54740,21740,21450,8400,111630,111960,-33.883516,151.206745
Feb 2020,Central,13120,54070,20520,24810,54210,19360,19130,9040,106980,107280,-33.883516,151.206745
May 2020,Central,2910,6960,4160,4420,7750,4080,2930,2150,17750,17610,-33.883516,151.206745
Sep 2020,Central,5800,18330,9270,11170,19490,8930,8360,4300,42920,42730,-33.883516,151.206745
2016,Chatswood,6590,9470,5850,6230,11310,9690,3670,3450,27420,28840,-33.797218,151.181023
2017,Chatswood,7110,9440,6010,6500,11430,10200,3710,3620,28260,29760,-33.797218,151.181023
2018,Chatswood,7060,9470,5870,6200,11090,10130,3680,3450,27700,29250,-33.797218,151.181023
2019,Chatswood,7080,10940,6810,7290,13350,11290,4680,3900,31920,33420,-33.797218,151.181023
Feb 2020,Chatswood,6880,10860,5990,6740,13060,10730,4320,3510,30250,31840,-33.797218,151.181023
May 2020,Chatswood,950,2010,1670,1890,2530,1670,760,530,5910,6100,-33.797218,151.181023
Sep 2020,Chatswood,2680,5280,3790,4410,6800,5040,2360,1590,15630,16320,-33.797218,151.181023
2016,Cheltenham,-,-,-,-,-,-,-,-,1360,1170,-33.755418,151.078129
2017,Cheltenham,-,-,-,-,-,-,-,-,1550,1310,-33.755418,151.078129
2018,Cheltenham,-,-,-,-,-,-,-,-,1540,1340,-33.755418,151.078129
2019,Cheltenham,-,-,-,-,-,-,-,-,1400,1150,-33.755418,151.078129
Feb 2020,Cheltenham,-,-,-,-,-,-,-,-,1280,1060,-33.755418,151.078129
May 2020,Cheltenham,-,-,-,-,-,-,-,-,110,100,-33.755418,151.078129
Sep 2020,Cheltenham,-,-,-,-,-,-,-,-,700,510,-33.755418,151.078129
2016,Chester Hill,530,190,240,170,230,450,80,160,1080,970,-33.883688,151.000463
2017,Chester Hill,580,190,240,200,250,490,100,150,1170,1030,-33.883688,151.000463
2018,Chester Hill,600,240,270,210,290,570,140,200,1300,1220,-33.883688,151.000463
2019,Chester Hill,650,220,270,190,290,600,150,210,1360,1220,-33.883688,151.000463
Feb 2020,Chester Hill,600,200,240,190,270,530,110,190,1220,1110,-33.883688,151.000463
May 2020,Chester Hill,120,100,100,100,100,140,60,50,380,390,-33.883688,151.000463
Sep 2020,Chester Hill,290,170,170,140,180,270,70,90,710,670,-33.883688,151.000463
2016,Circular Quay,3060,11230,5460,7720,12960,5990,5570,1730,27050,26670,-33.861351,151.210692
2017,Circular Quay,3620,11860,5740,7950,13260,5910,5250,2030,27870,27750,-33.861351,151.210692
2018,Circular Quay,3430,10920,5420,7620,12970,5170,4570,1720,26390,25430,-33.861351,151.210692
2019,Circular Quay,3380,11160,5500,7820,13300,5660,5150,1880,27330,26520,-33.861351,151.210692
Feb 2020,Circular Quay,3550,11280,4710,7680,12900,5590,5690,1910,26850,26460,-33.861351,151.210692
May 2020,Circular Quay,320,1440,820,680,1590,530,420,350,3150,3000,-33.861351,151.210692
Sep 2020,Circular Quay,790,3850,1860,2300,4370,1550,1490,720,8510,8420,-33.861351,151.210692
2016,Clarendon,-,-,-,-,-,-,-,-,90,100,-33.608508,150.787834
2017,Clarendon,-,-,-,-,-,-,-,-,130,120,-33.608508,150.787834
2018,Clarendon,-,-,-,-,-,-,-,-,100,90,-33.608508,150.787834
2019,Clarendon,-,-,-,-,-,-,-,-,110,100,-33.608508,150.787834
Feb 2020,Clarendon,-,-,-,-,-,-,-,-,80,80,-33.608508,150.787834
2016,Clyde,280,260,150,140,270,270,80,110,780,780,-33.835804,151.016801
2017,Clyde,340,250,170,150,270,300,80,140,860,840,-33.835804,151.016801
2018,Clyde,440,640,340,290,720,430,170,270,1670,1630,-33.835804,151.016801
2019,Clyde,430,610,390,300,690,420,180,300,1690,1630,-33.835804,151.016801
Feb 2020,Clyde,440,580,330,240,620,390,180,290,1570,1500,-33.835804,151.016801
May 2020,Clyde,100,170,140,100,190,140,100,120,530,530,-33.835804,151.016801
Sep 2020,Clyde,230,280,210,160,320,240,170,180,930,860,-33.835804,151.016801
2016,Como,-,-,-,-,-,-,-,-,830,710,-34.004463,151.068089
2017,Como,-,-,-,-,-,-,-,-,860,760,-34.004463,151.068089
2018,Como,690,40,100,90,60,510,50,160,900,800,-34.004463,151.068089
2019,Como,-,-,-,-,-,-,-,-,890,770,-34.004463,151.068089
Feb 2020,Como,-,-,-,-,-,-,-,-,930,790,-34.004463,151.068089
May 2020,Como,-,-,-,-,-,-,-,-,150,140,-34.004463,151.068089
Sep 2020,Como,-,-,-,-,-,-,-,-,370,310,-34.004463,151.068089
2016,Concord West,1270,520,360,280,570,1040,120,400,2320,2240,-33.848076,151.085491
2017,Concord West,1350,490,380,300,600,1110,130,420,2460,2320,-33.848076,151.085491
2018,Concord West,1380,510,390,300,600,1140,130,440,2500,2390,-33.848076,151.085491
2019,Concord West,1400,600,420,310,690,1150,150,440,2660,2500,-33.848076,151.085491
Feb 2020,Concord West,1340,500,390,300,610,1160,170,490,2510,2450,-33.848076,151.085491
May 2020,Concord West,200,170,110,90,180,200,50,60,540,520,-33.848076,151.085491
Sep 2020,Concord West,510,210,230,180,280,500,110,180,1130,1070,-33.848076,151.085491
2016,Coniston,140,50,40,40,50,90,50,50,280,230,-34.438102,150.884983
2017,Coniston,160,50,60,40,50,130,50,60,320,280,-34.438102,150.884983
2018,Coniston,150,50,60,50,50,130,50,50,310,280,-34.438102,150.884983
2019,Coniston,150,60,50,40,70,130,60,50,330,280,-34.438102,150.884983
Feb 2020,Coniston,160,60,60,40,60,130,50,60,330,290,-34.438102,150.884983
May 2020,Coniston,-,-,-,-,-,-,-,-,80,60,-34.438102,150.884983
Sep 2020,Coniston,-,-,-,-,-,-,-,-,160,120,-34.438102,150.884983
2016,Corrimal,-,-,-,-,-,-,-,-,190,170,-34.375584,150.905020
2017,Corrimal,-,-,-,-,-,-,-,-,180,160,-34.375584,150.905020
2018,Corrimal,-,-,-,-,-,-,-,-,170,130,-34.375584,150.905020
2019,Corrimal,-,-,-,-,-,-,-,-,160,150,-34.375584,150.905020
Feb 2020,Corrimal,-,-,-,-,-,-,-,-,190,170,-34.375584,150.905020
May 2020,Corrimal,-,-,-,-,-,-,-,-,70,50,-34.375584,150.905020
Sep 2020,Corrimal,-,-,-,-,-,-,-,-,110,90,-34.375584,150.905020
2016,Cowan,-,-,-,-,-,-,-,-,70,70,-33.593385,151.171602
2017,Cowan,-,-,-,-,-,-,-,-,80,60,-33.593385,151.171602
2018,Cowan,-,-,-,-,-,-,-,-,70,70,-33.593385,151.171602
2019,Cowan,-,-,-,-,-,-,-,-,80,70,-33.593385,151.171602
Feb 2020,Cowan,-,-,-,-,-,-,-,-,80,80,-33.593385,151.171602
Sep 2020,Cowan,-,-,-,-,-,-,-,-,50,50,-33.593385,151.171602
2016,Cronulla,1180,290,520,480,390,1020,240,430,2330,2220,-34.055975,151.151585
2017,Cronulla,1220,300,510,510,450,1120,270,420,2450,2350,-34.055975,151.151585
2018,Cronulla,1300,390,660,630,520,1190,280,400,2760,2610,-34.055975,151.151585
2019,Cronulla,1340,430,680,660,550,1180,300,430,2870,2700,-34.055975,151.151585
Feb 2020,Cronulla,1370,480,750,770,720,1210,370,520,3210,2980,-34.055975,151.151585
May 2020,Cronulla,230,210,220,240,260,280,120,60,830,790,-34.055975,151.151585
Sep 2020,Cronulla,520,370,590,640,590,600,230,180,1930,1790,-34.055975,151.151585
2016,Croydon,1350,260,360,290,470,1100,130,430,2310,2080,-33.883011,151.115299
2017,Croydon,1460,290,380,320,540,1190,130,440,2510,2240,-33.883011,151.115299
2018,Croydon,1640,310,440,320,550,1400,170,520,2800,2550,-33.883011,151.115299
2019,Croydon,1660,350,440,340,590,1400,170,530,2860,2620,-33.883011,151.115299
Feb 2020,Croydon,1690,370,420,300,630,1390,180,500,2920,2560,-33.883011,151.115299
May 2020,Croydon,250,80,120,110,110,240,60,60,540,490,-33.883011,151.115299
Sep 2020,Croydon,650,240,290,250,370,580,120,210,1430,1280,-33.883011,151.115299
2016,Dapto,310,50,80,70,50,310,110,100,550,530,-34.493089,150.791706
2017,Dapto,320,60,100,100,70,330,150,120,640,610,-34.493089,150.791706
2018,Dapto,320,50,100,80,70,310,140,120,630,560,-34.493089,150.791706
2019,Dapto,340,40,100,80,70,350,150,130,660,600,-34.493089,150.791706
Feb 2020,Dapto,320,60,80,90,80,300,140,110,620,560,-34.493089,150.791706
May 2020,Dapto,-,-,-,-,-,-,-,-,140,140,-34.493089,150.791706
Sep 2020,Dapto,130,40,70,50,50,140,80,40,330,270,-34.493089,150.791706
2016,Denistone,-,-,-,-,-,-,-,-,680,590,-33.799519,151.086754
2017,Denistone,-,-,-,-,-,-,-,-,690,580,-33.799519,151.086754
2018,Denistone,-,-,-,-,-,-,-,-,720,620,-33.799519,151.086754
2019,Denistone,-,-,-,-,-,-,-,-,710,620,-33.799519,151.086754
Feb 2020,Denistone,-,-,-,-,-,-,-,-,660,580,-33.799519,151.086754
May 2020,Denistone,-,-,-,-,-,-,-,-,100,80,-33.799519,151.086754
Sep 2020,Denistone,-,-,-,-,-,-,-,-,260,220,-33.799519,151.086754
2016,Domestic,1790,2130,2110,2020,2080,2260,1170,640,7150,7050,-33.933839,151.180289
2017,Domestic,2140,2460,2210,2290,2310,2650,1430,740,8090,8140,-33.933839,151.180289
2018,Domestic,2100,2450,2530,2430,2460,2820,1500,810,8590,8510,-33.933839,151.180289
2019,Domestic,2100,2340,2560,2340,2630,2840,1420,780,8710,8300,-33.933839,151.180289
Feb 2020,Domestic,2170,2610,2720,2520,2390,3020,1780,850,9060,9000,-33.933839,151.180289
May 2020,Domestic,-,-,-,-,-,-,-,-,200,190,-33.933839,151.180289
Sep 2020,Domestic,-,-,-,-,-,-,-,-,390,320,-33.933839,151.180289
2016,Doonside,1830,140,400,310,240,1500,220,470,2690,2420,-33.763822,150.869258
2017,Doonside,1830,130,420,310,240,1560,250,490,2740,2490,-33.763822,150.869258
2018,Doonside,2040,160,470,350,270,1770,280,530,3060,2810,-33.763822,150.869258
2019,Doonside,2200,180,500,420,330,1900,310,560,3340,3060,-33.763822,150.869258
Feb 2020,Doonside,2100,170,480,380,310,1770,340,630,3230,2950,-33.763822,150.869258
May 2020,Doonside,380,80,210,180,130,450,160,130,880,840,-33.763822,150.869258
Sep 2020,Doonside,860,170,310,250,240,820,240,220,1650,1460,-33.763822,150.869258
2016,Dora Creek,-,-,-,-,-,-,-,-,50,40,-33.083986,151.500868
2017,Dora Creek,-,-,-,-,-,-,-,-,50,50,-33.083986,151.500868
2018,Dora Creek,-,-,-,-,-,-,-,-,70,50,-33.083986,151.500868
2019,Dora Creek,-,-,-,-,-,-,-,-,70,50,-33.083986,151.500868
Feb 2020,Dora Creek,-,-,-,-,-,-,-,-,50,40,-33.083986,151.500868
2016,Dulwich Hill,1480,290,480,330,440,1140,190,580,2590,2340,-33.911058,151.141146
2017,Dulwich Hill,1650,410,540,400,570,1290,230,540,2990,2640,-33.911058,151.141146
2018,Dulwich Hill,1620,400,490,370,580,1270,290,620,2980,2660,-33.911058,151.141146
2019,Dulwich Hill,1750,420,480,340,570,1340,270,610,3070,2710,-33.911058,151.141146
Feb 2020,Dulwich Hill,1770,400,450,350,580,1280,230,570,3030,2600,-33.911058,151.141146
May 2020,Dulwich Hill,290,140,190,150,170,320,110,100,760,710,-33.911058,151.141146
Sep 2020,Dulwich Hill,710,240,300,250,360,620,170,240,1540,1350,-33.911058,151.141146
2016,Dundas,-,-,-,-,-,-,-,-,220,160,-33.803801,151.032848
2017,Dundas,-,-,-,-,-,-,-,-,220,180,-33.803801,151.032848
2018,Dundas,-,-,-,-,-,-,-,-,210,180,-33.803801,151.032848
2019,Dundas,-,-,-,-,-,-,-,-,210,170,-33.803801,151.032848
Feb 2020,Dundas,-,-,-,-,-,-,-,-,150,130,-33.803801,151.032848
Sep 2020,Dundas,-,-,-,-,-,-,-,-,50,60,-33.803801,151.032848
2016,East Hills,630,40,90,80,80,520,60,130,860,770,-33.961739,150.984444
2017,East Hills,660,60,130,100,80,570,80,150,950,880,-33.961739,150.984444
2018,East Hills,700,60,160,120,90,600,100,190,1050,970,-33.961739,150.984444
2019,East Hills,670,60,170,130,100,580,100,190,1040,960,-33.961739,150.984444
Feb 2020,East Hills,670,70,160,130,120,570,80,190,1030,960,-33.961739,150.984444
May 2020,East Hills,-,-,-,-,-,-,-,-,260,220,-33.961739,150.984444
Sep 2020,East Hills,220,60,90,60,80,220,60,70,450,410,-33.961739,150.984444
2016,East Maitland,-,-,-,-,-,-,-,-,40,50,-32.744573,151.587474
2018,East Maitland,-,-,-,-,-,-,-,-,40,40,-32.744573,151.587474
2019,East Maitland,-,-,-,-,-,-,-,-,40,40,-32.744573,151.587474
Feb 2020,East Maitland,-,-,-,-,-,-,-,-,40,50,-32.744573,151.587474
2016,East Richmond,-,-,-,-,-,-,-,-,250,330,-33.601774,150.758779
2017,East Richmond,-,-,-,-,-,-,-,-,270,370,-33.601774,150.758779
2018,East Richmond,-,-,-,-,-,-,-,-,210,350,-33.601774,150.758779
2019,East Richmond,-,-,-,-,-,-,-,-,240,340,-33.601774,150.758779
Feb 2020,East Richmond,-,-,-,-,-,-,-,-,200,240,-33.601774,150.758779
May 2020,East Richmond,-,-,-,-,-,-,-,-,50,50,-33.601774,150.758779
Sep 2020,East Richmond,-,-,-,-,-,-,-,-,100,110,-33.601774,150.758779
2016,Eastwood,3940,880,1710,1440,1510,3670,780,1820,7940,7810,-33.790162,151.082368
2017,Eastwood,4130,900,1870,1570,1600,3810,750,1870,8350,8150,-33.790162,151.082368
2018,Eastwood,4140,1030,1880,1630,1640,3810,830,1860,8490,8330,-33.790162,151.082368
2019,Eastwood,4060,1100,1780,1600,1970,4220,900,1680,8710,8600,-33.790162,151.082368
Feb 2020,Eastwood,3570,910,1510,1250,1390,3370,660,1470,7130,7000,-33.790162,151.082368
May 2020,Eastwood,560,360,540,520,480,690,220,240,1800,1810,-33.790162,151.082368
Sep 2020,Eastwood,1400,740,1150,1030,1020,1700,540,670,4110,4140,-33.790162,151.082368
2016,Edgecliff,4000,2540,1840,1610,2710,3450,830,1300,9380,8900,-33.878937,151.236154
2017,Edgecliff,4300,2740,2070,1740,2960,3720,810,1410,10140,9610,-33.878937,151.236154
2018,Edgecliff,4340,2870,2020,1730,3070,3830,810,1350,10240,9780,-33.878937,151.236154
2019,Edgecliff,4210,2920,2110,1760,3180,3840,900,1330,10400,9850,-33.878937,151.236154
Feb 2020,Edgecliff,4360,2850,1960,1770,3320,3850,1060,1610,10700,10080,-33.878937,151.236154
May 2020,Edgecliff,550,1030,720,620,1010,690,290,250,2570,2590,-33.878937,151.236154
Sep 2020,Edgecliff,1600,1810,1270,1100,1860,1650,550,610,5280,5170,-33.878937,151.236154
2016,Edmondson Park,-,-,-,-,-,-,-,-,1030,960,-33.969334,150.858855
2017,Edmondson Park,-,-,-,-,-,-,-,-,1330,1240,-33.969334,150.858855
2018,Edmondson Park,1510,80,200,180,130,1300,180,390,2020,1950,-33.969334,150.858855
2019,Edmondson Park,1720,130,250,210,210,1540,260,430,2440,2310,-33.969334,150.858855
Feb 2020,Edmondson Park,1890,260,300,240,320,1640,320,560,2830,2700,-33.969334,150.858855
May 2020,Edmondson Park,300,170,110,80,150,350,160,100,720,700,-33.969334,150.858855
Sep 2020,Edmondson Park,820,190,230,180,240,800,230,280,1520,1450,-33.969334,150.858855
2016,Emu Plains,1180,120,140,130,140,1040,150,220,1610,1510,-33.745697,150.671352
2017,Emu Plains,1230,140,150,120,170,1050,160,300,1710,1610,-33.745697,150.671352
2018,Emu Plains,1200,150,160,130,200,1070,170,260,1730,1610,-33.745697,150.671352
2019,Emu Plains,1120,150,160,130,200,1010,190,260,1670,1550,-33.745697,150.671352
Feb 2020,Emu Plains,1060,150,130,130,210,1010,190,240,1590,1530,-33.745697,150.671352
May 2020,Emu Plains,-,-,-,-,-,-,-,-,300,290,-33.745697,150.671352
Sep 2020,Emu Plains,330,110,90,70,120,360,110,60,650,600,-33.745697,150.671352
2016,Engadine,810,170,200,190,180,790,130,180,1320,1330,-34.067472,151.014703
2017,Engadine,860,180,220,190,180,820,160,180,1420,1370,-34.067472,151.014703
2018,Engadine,950,180,210,210,190,840,150,190,1500,1420,-34.067472,151.014703
2019,Engadine,940,200,200,210,210,870,160,160,1510,1440,-34.067472,151.014703
Feb 2020,Engadine,970,210,220,210,230,860,180,230,1600,1510,-34.067472,151.014703
May 2020,Engadine,150,90,80,80,80,160,70,40,380,370,-34.067472,151.014703
Sep 2020,Engadine,350,160,150,160,150,350,110,80,760,750,-34.067472,151.014703
2016,Epping,6470,1760,1950,1470,2230,5640,700,2490,11350,11360,-33.772736,151.081833
2017,Epping,6830,2110,2130,1610,2550,6090,750,2570,12260,12380,-33.772736,151.081833
2018,Epping,7250,1960,2180,1680,2520,6430,800,2680,12750,12750,-33.772736,151.081833
2019,Epping,8020,1970,2520,1880,2750,7380,1090,3160,14380,14390,-33.772736,151.081833
Feb 2020,Epping,8020,1970,2230,1720,2660,7380,1050,2920,13960,13990,-33.772736,151.081833
May 2020,Epping,1000,400,640,500,560,1130,280,400,2480,2430,-33.772736,151.081833
Sep 2020,Epping,3130,1190,1590,1220,1690,3330,590,1280,7000,7020,-33.772736,151.081833
2016,Erskineville,1480,360,430,320,510,1050,220,560,2640,2290,-33.900053,151.185556
2017,Erskineville,1580,480,420,340,680,1190,250,600,2930,2610,-33.900053,151.185556
2018,Erskineville,1670,410,410,320,550,1100,260,600,2890,2430,-33.900053,151.185556
2019,Erskineville,1790,410,440,330,580,1190,280,690,3090,2620,-33.900053,151.185556
Feb 2020,Erskineville,1830,510,420,330,660,1210,270,610,3180,2660,-33.900053,151.185556
May 2020,Erskineville,240,210,160,110,240,220,80,90,720,630,-33.900053,151.185556
Sep 2020,Erskineville,650,300,320,240,380,500,160,250,1510,1290,-33.900053,151.185556
2016,Fairfield,3490,1070,1610,1440,1330,3290,820,1270,7250,7070,-33.872479,150.956892
2017,Fairfield,3720,1250,1800,1700,1600,3660,850,1270,7970,7880,-33.872479,150.956892
2018,Fairfield,3530,1370,1860,1790,1600,3320,890,1270,7880,7750,-33.872479,150.956892
2019,Fairfield,3370,1350,1980,1790,1760,3410,930,1230,8040,7780,-33.872479,150.956892
Feb 2020,Fairfield,3170,1270,1770,1670,1600,3150,970,1200,7510,7290,-33.872479,150.956892
May 2020,Fairfield,630,510,580,540,450,640,440,220,2100,1910,-33.872479,150.956892
Sep 2020,Fairfield,1420,820,1160,1080,1010,1600,610,560,4200,4060,-33.872479,150.956892
2016,Fairy Meadow,-,-,-,-,-,-,-,-,110,110,-34.395078,150.896515
2017,Fairy Meadow,-,-,-,-,-,-,-,-,130,110,-34.395078,150.896515
2018,Fairy Meadow,-,-,-,-,-,-,-,-,120,110,-34.395078,150.896515
2019,Fairy Meadow,-,-,-,-,-,-,-,-,130,140,-34.395078,150.896515
Feb 2020,Fairy Meadow,-,-,-,-,-,-,-,-,130,130,-34.395078,150.896515
Sep 2020,Fairy Meadow,-,-,-,-,-,-,-,-,60,50,-34.395078,150.896515
2016,Fassifern,240,50,90,80,50,210,40,50,420,390,-32.985644,151.581075
2017,Fassifern,250,50,90,80,60,240,60,60,460,430,-32.985644,151.581075
2018,Fassifern,270,40,100,90,40,230,60,50,470,410,-32.985644,151.581075
2019,Fassifern,280,40,100,90,50,260,60,70,490,460,-32.985644,151.581075
Feb 2020,Fassifern,280,40,110,100,50,260,60,80,500,480,-32.985644,151.581075
May 2020,Fassifern,-,-,-,-,-,-,-,-,70,60,-32.985644,151.581075
Sep 2020,Fassifern,-,-,-,-,-,-,-,-,180,170,-32.985644,151.581075
2016,Faulconbridge,-,-,-,-,-,-,-,-,140,120,-33.696568,150.534736
2017,Faulconbridge,-,-,-,-,-,-,-,-,130,130,-33.696568,150.534736
2018,Faulconbridge,-,-,-,-,-,-,-,-,150,140,-33.696568,150.534736
2019,Faulconbridge,-,-,-,-,-,-,-,-,150,120,-33.696568,150.534736
Sep 2020,Faulconbridge,-,-,-,-,-,-,-,-,80,60,-33.696568,150.534736
2016,Flemington,1860,620,950,460,810,1470,310,1010,3930,3560,-33.864524,151.070458
2017,Flemington,2100,700,990,550,900,1670,330,1140,4320,4060,-33.864524,151.070458
2018,Flemington,2310,780,1140,660,1000,1890,420,1270,4870,4600,-33.864524,151.070458
2019,Flemington,2460,800,1270,760,1140,2100,530,1440,5400,5100,-33.864524,151.070458
Feb 2020,Flemington,2360,720,1120,660,1030,1920,540,1360,5050,4660,-33.864524,151.070458
May 2020,Flemington,690,280,560,360,430,720,280,440,1960,1800,-33.864524,151.070458
Sep 2020,Flemington,1170,530,870,500,750,1080,420,790,3210,2900,-33.864524,151.070458
2016,Gerringong,-,-,-,-,-,-,-,-,60,50,-34.744779,150.817650
2017,Gerringong,-,-,-,-,-,-,-,-,50,50,-34.744779,150.817650
2018,Gerringong,-,-,-,-,-,-,-,-,40,50,-34.744779,150.817650
2019,Gerringong,-,-,-,-,-,-,-,-,60,50,-34.744779,150.817650
Feb 2020,Gerringong,-,-,-,-,-,-,-,-,50,60,-34.744779,150.817650
2016,Glenbrook,-,-,-,-,-,-,-,-,560,530,-33.769026,150.621264
2017,Glenbrook,-,-,-,-,-,-,-,-,620,560,-33.769026,150.621264
2018,Glenbrook,-,-,-,-,-,-,-,-,640,580,-33.769026,150.621264
2019,Glenbrook,-,-,-,-,-,-,-,-,570,510,-33.769026,150.621264
Feb 2020,Glenbrook,380,40,70,50,50,300,50,120,550,510,-33.769026,150.621264
May 2020,Glenbrook,-,-,-,-,-,-,-,-,80,70,-33.769026,150.621264
Sep 2020,Glenbrook,-,-,-,-,-,-,-,-,210,180,-33.769026,150.621264
2016,Glenfield,2890,770,1090,530,520,2900,400,930,4900,5130,-33.972082,150.893280
2017,Glenfield,3440,900,1090,630,690,3120,600,990,5820,5640,-33.972082,150.893280
2018,Glenfield,3660,930,1220,670,720,3350,720,1100,6320,6050,-33.972082,150.893280
2019,Glenfield,3740,1000,1430,650,700,3490,800,1090,6670,6230,-33.972082,150.893280
Feb 2020,Glenfield,3660,670,930,620,780,3380,760,1120,6130,5790,-33.972082,150.893280
May 2020,Glenfield,640,130,260,260,200,770,330,210,1430,1370,-33.972082,150.893280
Sep 2020,Glenfield,1520,760,700,390,730,1550,470,490,3420,3190,-33.972082,150.893280
2016,Gordon,4090,1010,1020,870,1340,3410,320,1260,6770,6550,-33.755820,151.154302
2017,Gordon,4290,1150,1190,890,1520,3690,370,1240,7370,6970,-33.755820,151.154302
2018,Gordon,4480,1110,1150,990,1520,3750,380,1350,7530,7200,-33.755820,151.154302
2019,Gordon,4570,1330,1250,1060,1740,4010,430,1360,7990,7760,-33.755820,151.154302
Feb 2020,Gordon,4620,1360,1170,1050,1850,3910,510,1460,8150,7780,-33.755820,151.154302
May 2020,Gordon,440,400,310,290,390,480,160,160,1300,1330,-33.755820,151.154302
Sep 2020,Gordon,1500,840,740,580,980,1560,270,490,3490,3470,-33.755820,151.154302
2016,Gosford,2620,1030,830,660,1100,2520,710,990,5260,5200,-33.423419,151.341668
2017,Gosford,2800,1160,950,740,1210,2660,770,1120,5730,5680,-33.423419,151.341668
2018,Gosford,2700,1310,890,740,1260,2590,790,1010,5640,5650,-33.423419,151.341668
2019,Gosford,2590,1360,980,730,1360,2640,870,910,5800,5640,-33.423419,151.341668
Feb 2020,Gosford,2590,1300,820,700,1310,2530,830,940,5550,5470,-33.423419,151.341668
May 2020,Gosford,370,290,240,180,280,530,270,140,1160,1140,-33.423419,151.341668
Sep 2020,Gosford,940,820,580,370,790,1050,430,330,2740,2570,-33.423419,151.341668
2016,Granville,2660,1090,1340,920,1410,2540,880,1400,6290,5950,-33.832839,151.011449
2017,Granville,2940,1110,1570,1050,1480,2810,970,1620,6960,6590,-33.832839,151.011449
2018,Granville,2650,1140,1590,1010,1490,2580,1060,1530,6790,6260,-33.832839,151.011449
2019,Granville,2430,1080,1620,1070,1490,2470,1150,1510,6690,6130,-33.832839,151.011449
Feb 2020,Granville,2550,1130,1570,1110,1640,2580,1320,1750,7080,6570,-33.832839,151.011449
May 2020,Granville,780,450,850,670,990,1440,740,710,3360,3270,-33.832839,151.011449
Sep 2020,Granville,1400,860,1190,830,1190,1660,980,1110,4760,4460,-33.832839,151.011449
2016,Green Square,3190,4170,1480,1170,4420,2600,650,1400,9740,9340,-33.906070,151.202836
2017,Green Square,3600,4980,1750,1530,5420,3040,810,1500,11580,11050,-33.906070,151.202836
2018,Green Square,3800,5390,2120,1680,5900,3450,950,1620,12770,12140,-33.906070,151.202836
2019,Green Square,3870,4740,2250,1790,5330,3750,1080,1780,12530,12060,-33.906070,151.202836
Feb 2020,Green Square,3890,4520,2110,1790,5110,3950,1200,1910,12310,12170,-33.906070,151.202836
May 2020,Green Square,610,1200,650,560,1240,820,370,320,2870,2900,-33.906070,151.202836
Sep 2020,Green Square,1590,2170,1200,980,2470,1810,710,870,5970,5830,-33.906070,151.202836
2016,Guildford,1560,240,560,440,430,1290,310,580,2860,2550,-33.854290,150.984456
2017,Guildford,1680,260,590,470,470,1390,330,620,3070,2740,-33.854290,150.984456
2018,Guildford,1740,290,710,530,500,1580,430,680,3380,3080,-33.854290,150.984456
2019,Guildford,1710,300,720,520,530,1620,440,660,3400,3100,-33.854290,150.984456
Feb 2020,Guildford,1680,280,690,530,490,1510,450,730,3310,3050,-33.854290,150.984456
May 2020,Guildford,420,160,260,190,160,390,250,150,1090,890,-33.854290,150.984456
Sep 2020,Guildford,820,230,490,370,370,860,340,380,2020,1840,-33.854290,150.984456
2016,Gymea,1470,270,370,290,320,1220,150,370,2310,2150,-34.034889,151.085195
2017,Gymea,1500,380,370,330,370,1280,150,370,2390,2360,-34.034889,151.085195
2018,Gymea,1680,280,380,370,380,1400,170,390,2610,2440,-34.034889,151.085195
2019,Gymea,1650,260,400,370,380,1440,190,350,2620,2420,-34.034889,151.085195
Feb 2020,Gymea,1690,280,370,340,390,1370,170,390,2620,2380,-34.034889,151.085195
May 2020,Gymea,190,80,120,110,100,230,90,40,500,460,-34.034889,151.085195
Sep 2020,Gymea,540,180,240,240,220,510,120,110,1120,1040,-34.034889,151.085195
2016,Hamilton,380,710,420,380,670,330,140,150,1610,1570,-32.918340,151.748358
2017,Hamilton,390,770,470,450,730,360,150,180,1740,1760,-32.918340,151.748358
2018,Hamilton,250,250,260,200,260,240,110,120,880,810,-32.918340,151.748358
2019,Hamilton,250,260,240,200,270,230,90,130,850,820,-32.918340,151.748358
Feb 2020,Hamilton,240,280,220,200,260,230,140,180,860,890,-32.918340,151.748358
May 2020,Hamilton,-,-,-,-,-,-,-,-,190,170,-32.918340,151.748358
Sep 2020,Hamilton,80,140,90,80,140,80,40,40,350,340,-32.918340,151.748358
2016,Harris Park,1340,230,430,340,410,1110,290,690,2470,2370,-33.823310,151.007698
2017,Harris Park,1410,240,510,340,420,1170,300,680,2640,2430,-33.823310,151.007698
2018,Harris Park,1030,250,430,350,400,940,320,530,2180,2070,-33.823310,151.007698
2019,Harris Park,1050,320,520,460,530,1040,400,560,2500,2380,-33.823310,151.007698
Feb 2020,Harris Park,1000,310,540,420,520,1010,460,620,2520,2360,-33.823310,151.007698
May 2020,Harris Park,310,130,250,170,200,360,190,180,950,840,-33.823310,151.007698
Sep 2020,Harris Park,490,180,340,280,350,630,390,380,1570,1470,-33.823310,151.007698
